"age"  "type_employer"  "education"  "marital"  "occupation"  "relationship"  "race"  "sex"  "capital_gain"  "capital_loss"  "hr_per_week"  "income"
33  " Private"  " Masters"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
30  " Private"  " 9th"  " Never-married"  " Sales"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
43  " Federal-gov"  " Doctorate"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "None"  50  "high"
57  " Private"  " Assoc-voc"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
37  " Private"  " Some-college"  " Divorced"  " Craft-repair"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
28  " Private"  " Some-college"  " Divorced"  " Machine-op-inspct"  " Unmarried"  " Black"  " Female"  "None"  "None"  25  "low"
34  " Local-gov"  " Bachelors"  " Married-civ-spouse"  " Protective-serv"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
29  " Local-gov"  " Some-college"  " Never-married"  " Handlers-cleaners"  " Not-in-family"  " White"  " Male"  "None"  "None"  50  "low"
48  " Self-emp-not-inc"  " Doctorate"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "High"  60  "high"
37  " Private"  " Some-college"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  48  "high"
48  " Private"  " Assoc-acdm"  " Divorced"  " Exec-managerial"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
32  " Federal-gov"  " HS-grad"  " Never-married"  " Other-service"  " Own-child"  " Black"  " Male"  "None"  "None"  40  "low"
76  " Private"  " Masters"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
44  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "High"  "None"  60  "high"
47  " Self-emp-not-inc"  " Masters"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "None"  50  "low"
20  " Private"  " Some-college"  " Never-married"  " Tech-support"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
29  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
32  " Self-emp-inc"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "High"  "None"  40  "high"
30  " Private"  " 11th"  " Never-married"  " Handlers-cleaners"  " Own-child"  " White"  " Male"  "None"  "None"  40  "low"
31  " Local-gov"  " HS-grad"  " Never-married"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
42  " Private"  " HS-grad"  " Married-civ-spouse"  " Handlers-cleaners"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
24  " Private"  " Bachelors"  " Never-married"  " Sales"  " Other-relative"  " White"  " Male"  "None"  "None"  40  "low"
38  " Private"  " Prof-school"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
56  " Self-emp-not-inc"  " HS-grad"  " Married-civ-spouse"  " Other-service"  " Husband"  " White"  " Male"  "None"  "Low"  50  "high"
28  " Private"  " Some-college"  " Married-civ-spouse"  " Sales"  " Wife"  " White"  " Female"  "Low"  "None"  25  "low"
36  " Private"  " HS-grad"  " Never-married"  " Machine-op-inspct"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
53  " Private"  " 9th"  " Married-civ-spouse"  " Handlers-cleaners"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
56  " Self-emp-inc"  " Some-college"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
49  " Local-gov"  " Assoc-voc"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " Black"  " Male"  "None"  "None"  40  "high"
55  " Private"  " Some-college"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  56  "low"
22  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  41  "low"
21  " Private"  " Some-college"  " Never-married"  " Other-service"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
40  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  60  "low"
30  " Private"  " Bachelors"  " Never-married"  " Exec-managerial"  " Own-child"  " Black"  " Male"  "None"  "None"  40  "low"
29  " State-gov"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
19  " Private"  " Some-college"  " Never-married"  " Other-service"  " Own-child"  " Black"  " Male"  "None"  "None"  35  "low"
47  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Wife"  " White"  " Female"  "None"  "None"  40  "high"
20  " Private"  " Some-college"  " Never-married"  " Adm-clerical"  " Own-child"  " White"  " Female"  "None"  "Low"  28  "low"
31  " Private"  " Assoc-acdm"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
39  " Private"  " Some-college"  " Divorced"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
28  " Private"  " Assoc-acdm"  " Never-married"  " Sales"  " Not-in-family"  " White"  " Female"  "None"  "None"  60  "low"
24  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Not-in-family"  " White"  " Female"  "None"  "Low"  40  "low"
38  " Self-emp-not-inc"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "Low"  "None"  35  "low"
37  " Private"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
46  " Private"  " Assoc-acdm"  " Divorced"  " Tech-support"  " Not-in-family"  " Black"  " Female"  "None"  "None"  36  "low"
38  " Federal-gov"  " Masters"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
43  " Self-emp-not-inc"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  60  "low"
27  " Private"  " Assoc-voc"  " Married-civ-spouse"  " Adm-clerical"  " Wife"  " White"  " Female"  "None"  "None"  35  "low"
20  " Private"  " Some-college"  " Never-married"  " Sales"  " Own-child"  " White"  " Male"  "None"  "None"  20  "low"
49  " Private"  " Some-college"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " Asian-Pac-Islander"  " Male"  "None"  "None"  40  "high"
61  " Self-emp-inc"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
27  " Private"  " Some-college"  " Never-married"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
19  " Private"  " Some-college"  " Never-married"  " Other-service"  " Own-child"  " White"  " Male"  "None"  "None"  30  "low"
45  " Private"  " Assoc-voc"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "Low"  40  "high"
70  " Private"  " Some-college"  " Never-married"  " Tech-support"  " Other-relative"  " White"  " Male"  "None"  "None"  40  "low"
31  " Private"  " HS-grad"  " Never-married"  " Transport-moving"  " Unmarried"  " Black"  " Female"  "None"  "None"  30  "low"
22  " Private"  " Some-college"  " Married-civ-spouse"  " Other-service"  " Husband"  " White"  " Male"  "None"  "None"  24  "low"
36  " Private"  " HS-grad"  " Widowed"  " Other-service"  " Unmarried"  " White"  " Female"  "None"  "None"  24  "low"
64  " Private"  " 11th"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "High"  40  "low"
47  " Local-gov"  " Some-college"  " Divorced"  " Adm-clerical"  " Unmarried"  " White"  " Female"  "None"  "None"  38  "low"
34  " Private"  " HS-grad"  " Never-married"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
33  " Private"  " Bachelors"  " Never-married"  " Exec-managerial"  " Other-relative"  " Asian-Pac-Islander"  " Female"  "None"  "None"  40  "low"
21  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Own-child"  " White"  " Male"  "None"  "None"  35  "low"
48  " Private"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  46  "low"
23  " Private"  " Bachelors"  " Never-married"  " Handlers-cleaners"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
71  " Self-emp-not-inc"  " Some-college"  " Separated"  " Sales"  " Unmarried"  " Black"  " Male"  "None"  "Low"  2  "low"
29  " Private"  " HS-grad"  " Divorced"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  60  "low"
42  " Private"  " Bachelors"  " Separated"  " Other-service"  " Other-relative"  " Black"  " Male"  "None"  "None"  50  "low"
25  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
44  " Self-emp-inc"  " Masters"  " Divorced"  " Exec-managerial"  " Unmarried"  " Asian-Pac-Islander"  " Female"  "None"  "None"  40  "low"
28  " Private"  " HS-grad"  " Never-married"  " Exec-managerial"  " Not-in-family"  " Asian-Pac-Islander"  " Female"  "None"  "None"  40  "low"
45  " Self-emp-not-inc"  " Masters"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
36  " Private"  " Some-college"  " Divorced"  " Other-service"  " Unmarried"  " White"  " Female"  "None"  "None"  40  "low"
39  " Federal-gov"  " Assoc-acdm"  " Never-married"  " Exec-managerial"  " Not-in-family"  " White"  " Male"  "None"  "None"  42  "low"
46  " State-gov"  " Masters"  " Widowed"  " Protective-serv"  " Unmarried"  " White"  " Male"  "None"  "None"  40  "low"
18  " Private"  " 11th"  " Never-married"  " Handlers-cleaners"  " Own-child"  " White"  " Male"  "None"  "None"  16  "low"
66  " Local-gov"  " Assoc-voc"  " Widowed"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "None"  20  "low"
27  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Not-in-family"  " White"  " Male"  "None"  "High"  40  "low"
28  " State-gov"  " HS-grad"  " Married-civ-spouse"  " Protective-serv"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
51  " Private"  " Some-college"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "High"  40  "high"
27  " Private"  " Bachelors"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  50  "low"
28  " State-gov"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
27  " Private"  " HS-grad"  " Married-spouse-absent"  " Sales"  " Unmarried"  " White"  " Female"  "None"  "None"  25  "low"
21  " Private"  " HS-grad"  " Never-married"  " Craft-repair"  " Own-child"  " Black"  " Male"  "None"  "None"  40  "low"
34  " Private"  " HS-grad"  " Never-married"  " Handlers-cleaners"  " Not-in-family"  " Black"  " Male"  "None"  "None"  40  "low"
18  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Own-child"  " White"  " Male"  "None"  "None"  12  "low"
33  " Private"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  65  "low"
44  " Local-gov"  " Some-college"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " Black"  " Male"  "None"  "None"  38  "high"
43  " Private"  " Some-college"  " Divorced"  " Adm-clerical"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
30  " Private"  " Some-college"  " Never-married"  " Craft-repair"  " Not-in-family"  " Black"  " Male"  "None"  "None"  45  "low"
40  " Private"  " 7th-8th"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
37  " Federal-gov"  " Some-college"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " White"  " Male"  "None"  "None"  42  "high"
34  " Private"  " HS-grad"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " Black"  " Male"  "None"  "None"  40  "low"
41  " Self-emp-not-inc"  " Bachelors"  " Divorced"  " Exec-managerial"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
31  " Private"  " Masters"  " Married-civ-spouse"  " Prof-specialty"  " Wife"  " White"  " Female"  "None"  "None"  50  "low"
58  " State-gov"  " Doctorate"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  1  "high"
38  " Private"  " Some-college"  " Divorced"  " Machine-op-inspct"  " Not-in-family"  " Black"  " Female"  "None"  "None"  28  "low"
24  " Private"  " Some-college"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
41  " Local-gov"  " Bachelors"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " Black"  " Male"  "None"  "None"  40  "low"
47  " Private"  " Some-college"  " Married-civ-spouse"  " Tech-support"  " Husband"  " White"  " Male"  "None"  "None"  45  "low"
41  " Federal-gov"  " Bachelors"  " Married-civ-spouse"  " Tech-support"  " Husband"  " White"  " Male"  "None"  "None"  24  "low"
23  " Private"  " 5th-6th"  " Married-civ-spouse"  " Transport-moving"  " Other-relative"  " White"  " Male"  "None"  "None"  40  "low"
36  " Private"  " Some-college"  " Divorced"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
40  " Federal-gov"  " Masters"  " Never-married"  " Exec-managerial"  " Not-in-family"  " White"  " Female"  "High"  "None"  55  "high"
35  " Private"  " Masters"  " Married-civ-spouse"  " Prof-specialty"  " Other-relative"  " White"  " Male"  "Low"  "None"  40  "high"
24  " Self-emp-not-inc"  " HS-grad"  " Never-married"  " Sales"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
26  " Private"  " Masters"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "Low"  40  "low"
51  " Private"  " Bachelors"  " Married-civ-spouse"  " Exec-managerial"  " Husband"  " White"  " Male"  "None"  "None"  50  "high"
42  " Local-gov"  " Some-college"  " Never-married"  " Prof-specialty"  " Not-in-family"  " White"  " Female"  "None"  "Low"  40  "low"
37  " State-gov"  " HS-grad"  " Divorced"  " Adm-clerical"  " Unmarried"  " White"  " Female"  "None"  "None"  35  "low"
18  " Private"  " 11th"  " Never-married"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
36  " Private"  " Bachelors"  " Married-civ-spouse"  " Other-service"  " Husband"  " Black"  " Male"  "Low"  "None"  36  "high"
35  " Private"  " HS-grad"  " Divorced"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  60  "low"
58  " Self-emp-inc"  " HS-grad"  " Married-civ-spouse"  " Sales"  " Wife"  " White"  " Female"  "High"  "None"  35  "high"
17  " Private"  " 11th"  " Never-married"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  12  "low"
44  " Local-gov"  " HS-grad"  " Married-civ-spouse"  " Transport-moving"  " Husband"  " Black"  " Male"  "None"  "None"  40  "low"
37  " Private"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
35  " Private"  " Some-college"  " Never-married"  " Sales"  " Not-in-family"  " Amer-Indian-Eskimo"  " Female"  "None"  "None"  40  "low"
60  " Private"  " HS-grad"  " Married-civ-spouse"  " Craft-repair"  " Husband"  " Asian-Pac-Islander"  " Male"  "None"  "None"  40  "low"
54  " Self-emp-inc"  " 7th-8th"  " Married-civ-spouse"  " Machine-op-inspct"  " Husband"  " White"  " Male"  "None"  "None"  40  "high"
37  " Private"  " Bachelors"  " Never-married"  " Exec-managerial"  " Not-in-family"  " Black"  " Male"  "None"  "None"  60  "high"
50  " Private"  " Assoc-acdm"  " Divorced"  " Sales"  " Not-in-family"  " White"  " Female"  "None"  "None"  40  "low"
38  " Private"  " Bachelors"  " Married-civ-spouse"  " Sales"  " Husband"  " White"  " Male"  "None"  "None"  50  "low"
45  " Private"  " Bachelors"  " Married-civ-spouse"  " Prof-specialty"  " Husband"  " White"  " Male"  "None"  "None"  55  "low"
25  " Private"  " 10th"  " Never-married"  " Craft-repair"  " Not-in-family"  " White"  " Male"  "None"  "None"  40  "low"
31  " Private"  " Some-college"  " Married-civ-spouse"  " Handlers-cleaners"  " Husband"  " White"  " Male"  "None"  "None"  40  "low"
90  " Private"  " HS-grad"  " Never-married"  " Other-service"  " Not-in-family"  " Black"  " Male"  "None"  "High"  40  "low"
54  " Private"  " HS-grad"  " Married-civ-spouse"  " Adm-clerical"  " Husband"  " Black"  " Male"  "None"  "None"  20  "low"
53  " Local-gov"  " Preschool"  " Never-married"  " Machine-op-inspct"  " Not-in-family"  " White"  " Female"  "None"  "None"  35  "low"
18  " Private"  " HS-grad"  " Never-married"  " Sales"  " Own-child"  " White"  " Female"  "None"  "None"  40  "low"
66  " Self-emp-not-inc"  " HS-grad"  " Married-civ-spouse"  " Farming-fishing"  " Husband"  " White"  " Male"  "Low"  "None"  50  "low"
